Destination,Start date,lat,lon,maxtemp_c,mintemp_c,avgtemp_c,totalprecip_mm,totalsnow_cm,avghumidity,maxwind_kph,avgvis_km,condition_text,condition_icon_url,icon_location
"Buenos Aires, Argentina",02/15/2024,-34.5875,-58.6725,28.9,18.1,23.1,0.0,0.0,58,14.0,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Rio de Janeiro, Brazil",01/14/2024,-22.9,-43.2333,27.1,23.9,25.4,4.79,0.0,87,10.8,9.7,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Reykjavik, Iceland",01/04/2024,64.15,-21.95,27.78,1.39,4.26,38.94,4.81,29.44,8.64,3.96,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Conakry, Guinea",05/03/2024,9.5092,-13.7122,29.52,19.58,21.89,15.5,7.72,37.19,11.88,9.56,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Hong Kong, China",02/03/2024,22.2833,114.15,19.73,12.19,17.97,27.33,5.63,77.84,15.55,4.55,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Whangarei, New Zealand",02/28/2024,-35.72,174.33,24.7,13.0,18.0,0.19,0.0,75,8.6,7.7,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Rabat, Morocco",02/03/2024,34.0253,-6.8361,33.03,29.53,32.25,36.12,0.4,65.77,5.71,9.43,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Los Angeles, USA",07/27/2024,34.0522,-118.2428,29.3,20.6,24.5,0.0,0.0,48,17.6,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Paris, France",08/19/2024,48.8667,2.3333,25.6,14.2,20.0,0.0,0.0,51,7.9,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Mexico City, Mexico",02/03/2024,19.4285,-99.1277,37.89,25.47,29.14,2.29,3.5,73.45,50.34,4.55,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Edinburgh, UK",01/04/2024,55.949,-3.1625,20.38,-3.18,7.39,41.82,1.78,88.74,5.31,5.81,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Rothenburg ob der Tauber, Germany",05/03/2024,49.3833,10.1833,38.41,32.44,35.41,25.92,1.85,16.97,49.26,9.61,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Whangarei, New Zealand",05/03/2024,-35.72,174.33,13.64,12.87,13.13,12.93,4.3,99.82,35.45,7.12,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"San Francisco, USA",01/04/2024,37.775,-122.4183,27.5,10.92,26.25,23.05,3.26,19.54,10.43,7.9,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Dar es Salaam, Tanzania",01/04/2024,-6.8,39.2833,37.0,23.41,33.72,13.34,4.44,29.83,40.83,6.69,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"New York, USA",09/06/2024,40.7142,-74.0064,24.4,19.0,21.5,0.04,0.0,68,16.6,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Ljubljana, Slovenia",01/04/2024,46.0553,14.5144,16.76,7.76,13.23,49.69,0.5,83.55,46.31,5.35,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Krakow, Poland",06/02/2024,51.7333,18.5167,39.21,3.79,5.63,22.05,4.7,69.76,5.56,6.36,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Marrakech, Morocco",10/23/2024,31.6333,-8.0,27.5,20.8,23.2,0.83,0.0,44,28.1,9.5,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Seoul, South Korea",10/05/2024,37.5664,126.9997,23.9,14.4,19.0,0.0,0.0,43,6.8,10.0,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Cairns, Australia",01/04/2024,-16.9167,145.7667,39.94,27.82,37.35,21.27,7.61,87.14,50.73,4.16,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Kyoto, Japan",02/24/2024,35.0211,135.7539,8.1,2.7,5.1,0.03,0.0,62,15.5,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Aix-en-Provence, France",06/02/2024,43.5333,5.4333,24.87,2.5,11.34,36.89,3.47,88.06,29.07,4.8,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Quito, Ecuador",01/08/2024,-0.2167,-78.5,18.9,9.3,13.5,2.45,0.0,74,10.8,9.8,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Auckland, New Zealand",03/31/2024,-36.8667,174.7667,19.4,12.4,15.5,0.0,0.0,60,21.2,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Johannesburg, South Africa",03/04/2024,-26.2,28.0833,24.16,11.52,12.36,27.91,6.53,72.39,41.81,4.43,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"San Pedro Sula, Honduras",09/20/2024,15.5,-88.0333,30.9,21.3,25.4,16.23,0.0,87,9.0,9.3,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Cape Town, South Africa",11/17/2024,-33.9167,18.4167,24.3,14.6,18.6,0.0,0.0,71,20.2,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Darwin, Australia",02/03/2024,-12.4667,130.8333,35.9,16.76,25.09,18.45,3.87,56.4,14.34,7.54,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"New Plymouth, New Zealand",06/02/2024,-39.0667,174.0833,38.72,23.28,31.16,33.85,0.02,22.7,43.02,7.2,Light sleet,http://cdn.weatherapi.com/weather/64x64/day/317.png,icons/317.png
"Townsville, Australia",02/03/2024,-19.25,146.8,23.77,-2.65,7.73,42.29,5.26,18.68,27.47,9.31,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Kampala, Uganda",06/02/2024,0.3156,32.5656,34.73,29.68,33.18,22.16,2.16,65.71,49.15,7.46,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Lima, Peru",07/03/2024,-12.05,-77.05,19.4,14.1,16.2,0.03,0.0,75,12.6,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Zermatt, Switzerland",10/12/2024,46.0167,7.75,1.3,-3.9,-0.9,2.72,0.0,90,12.2,7.0,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Kuala Lumpur, Malaysia",11/10/2024,3.1667,101.7,28.7,22.6,25.1,2.33,0.0,83,11.2,9.5,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Cairo, Egypt",06/02/2024,30.05,31.25,30.04,29.99,30.0,11.85,0.26,29.87,39.42,9.99,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Hamilton, New Zealand",05/03/2024,-37.7833,175.2833,29.84,19.52,29.76,37.38,3.82,40.54,37.24,8.42,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Hong Kong, China",01/08/2024,22.2833,114.15,19.1,16.7,17.9,0.26,0.0,80,33.8,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Kuala Lumpur, Malaysia",05/05/2024,3.1667,101.7,31.1,23.6,26.2,5.11,0.0,88,8.3,7.2,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Ghent, Belgium",05/03/2024,51.05,3.7167,22.51,13.94,15.95,12.66,1.83,51.17,43.51,7.26,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Managua, Nicaragua",01/02/2024,12.1508,-86.2683,31.1,23.6,26.3,0.2,0.0,68,25.2,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Guatemala City, Guatemala",11/13/2024,14.6211,-90.5269,22.8,14.8,17.8,2.48,0.0,89,5.8,4.5,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Tokyo, Japan",01/19/2024,35.6895,139.6917,12.1,9.3,10.2,0.0,0.0,55,19.1,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Athens, Greece",05/03/2024,37.9795,23.7162,24.42,18.53,20.51,36.19,2.01,58.96,29.14,3.85,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Beijing, China",10/14/2024,39.9289,116.3883,24.0,15.4,19.4,0.2,0.0,56,17.3,10.0,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Addis Ababa, Ethiopia",03/04/2024,9.0333,38.7,16.02,3.41,8.51,38.11,1.3,25.39,20.79,8.0,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Quito, Ecuador",02/03/2024,-0.2167,-78.5,23.65,-1.24,13.14,28.16,1.27,23.23,51.54,3.91,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Stockholm, Sweden",04/03/2024,59.3333,18.05,24.0,1.92,4.14,24.39,0.39,76.22,27.95,4.58,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Reykjavik, Iceland",10/21/2024,64.15,-21.95,3.2,1.6,2.4,2.11,0.95,81,31.7,7.8,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Brisbane, Australia",01/04/2024,-27.5,153.0167,39.44,5.74,33.31,20.63,6.64,69.82,6.88,6.73,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Bergen, Norway",06/02/2024,60.3911,5.3247,11.7,9.2,10.8,0.18,0.0,85,26.3,10.0,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Cesky Krumlov, Czech Republic",03/04/2024,48.8167,14.3167,18.96,18.27,18.69,37.21,3.94,25.58,51.39,8.57,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Amsterdam, Netherlands",06/02/2024,52.374,4.8897,37.1,28.57,36.2,43.88,1.7,32.3,6.33,4.58,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Freiburg im Breisgau, Germany",05/03/2024,48.0,7.85,28.16,5.57,22.55,13.33,6.25,18.29,46.65,5.85,Heavy snow,http://cdn.weatherapi.com/weather/64x64/day/338.png,icons/338.png
"Siena, Italy",01/18/2024,43.3167,11.35,15.3,9.3,11.7,2.84,0.0,84,26.6,9.8,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Havana, Cuba",09/04/2024,23.1319,-82.3642,31.5,24.6,27.5,6.86,0.0,85,16.6,9.0,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Verona, Italy",06/02/2024,45.45,11.0,32.38,13.08,15.17,44.64,4.18,87.12,16.49,8.26,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Santorini, Greece",01/04/2024,43.2554,-77.7299,21.89,14.43,18.27,26.57,8.52,70.46,28.79,9.07,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Sydney, Australia",04/03/2024,-33.8833,151.2167,36.97,28.42,31.88,42.37,0.63,30.02,38.32,8.16,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Stockholm, Sweden",01/04/2024,59.3333,18.05,35.98,28.31,28.33,33.75,7.03,42.51,42.5,5.65,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Madrid, Spain",06/02/2024,40.4,-3.6833,28.02,11.27,14.36,33.75,2.68,12.93,28.17,8.65,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Amsterdam, Netherlands",08/01/2024,52.374,4.8897,23.6,15.2,19.0,0.0,0.0,74,12.6,10.0,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Melbourne, Australia",04/18/2024,-37.8167,144.9667,16.1,11.3,13.7,0.49,0.0,69,13.7,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"San Pedro Sula, Honduras",05/03/2024,15.5,-88.0333,17.86,11.0,17.67,21.82,1.73,81.29,39.41,5.93,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Bamako, Mali",02/03/2024,12.65,-8.0,20.94,4.94,15.5,23.35,6.78,43.25,29.82,3.88,Heavy snow,http://cdn.weatherapi.com/weather/64x64/day/338.png,icons/338.png
"Hobart, Australia",05/19/2024,-42.9167,147.3333,12.4,5.9,8.9,1.56,0.0,74,16.9,9.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"La Paz, Bolivia",03/04/2024,-16.5,-68.15,31.43,1.28,24.29,7.96,6.21,95.39,47.08,8.29,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Lille, France",01/04/2024,50.6333,3.0667,27.95,4.3,19.04,26.18,3.32,31.43,30.14,3.81,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Tegucigalpa, Honduras",04/03/2024,14.1,-87.2167,31.74,28.7,30.58,19.98,5.77,78.8,41.19,6.34,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Zermatt, Switzerland",05/03/2024,46.0167,7.75,32.55,11.34,12.19,36.52,7.98,96.47,48.5,7.92,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Sydney, Australia",10/30/2024,-33.8833,151.2167,21.5,13.7,18.0,0.0,0.0,71,31.7,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Rotorua, New Zealand",04/03/2024,-38.1378,176.2514,40.04,24.4,31.0,8.51,3.43,84.61,4.88,5.0,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Tallinn, Estonia",01/31/2024,59.4339,24.7281,2.5,0.9,1.8,3.77,0.0,95,27.0,7.6,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Dunedin, New Zealand",04/03/2024,-45.8667,170.5,35.25,26.27,28.24,1.27,2.32,62.11,23.11,7.01,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Ljubljana, Slovenia",04/24/2024,46.0553,14.5144,2.1,-0.3,1.4,12.24,0.0,100,3.2,5.6,Light sleet,http://cdn.weatherapi.com/weather/64x64/day/317.png,icons/317.png
"Hallstatt, Austria",05/03/2024,47.55,13.65,19.87,12.19,17.88,2.15,2.02,46.06,35.85,7.25,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Cairns, Australia",03/04/2024,-16.9167,145.7667,15.22,14.34,15.07,21.85,7.36,98.98,52.13,5.63,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Lusaka, Zambia",06/02/2024,-15.4167,28.2833,37.36,2.6,2.83,7.84,7.59,93.3,37.66,9.61,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Conakry, Guinea",01/04/2024,9.5092,-13.7122,35.42,20.57,31.52,49.58,0.62,53.58,34.35,6.7,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Santorini, Greece",02/03/2024,43.2554,-77.7299,30.96,-0.72,13.39,7.49,5.99,57.44,41.32,9.91,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Milan, Italy",05/03/2024,45.4667,9.2,28.85,20.06,27.96,32.42,8.76,97.91,51.68,4.14,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Colombo, Sri Lanka",05/03/2024,6.9319,79.8478,21.22,10.29,14.65,41.95,5.83,16.24,9.48,9.91,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Seville, Spain",06/02/2024,37.3772,-5.9869,36.96,21.61,30.78,5.13,1.12,82.38,29.34,4.6,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Kyoto, Japan",05/16/2024,35.0211,135.7539,17.8,13.1,15.4,1.12,0.0,72,23.4,8.6,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Antananarivo, Madagascar",05/03/2024,-18.9167,47.5167,35.98,27.55,31.46,5.16,6.42,82.96,47.26,7.95,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"New York, USA",03/04/2024,40.7142,-74.0064,28.48,22.95,24.95,18.51,5.88,86.12,15.5,4.4,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Belmopan, Belize",09/11/2024,17.25,-88.7667,32.5,23.9,27.4,4.19,0.0,84,10.1,7.9,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Antananarivo, Madagascar",04/03/2024,-18.9167,47.5167,27.64,9.13,17.88,45.53,4.59,56.06,32.13,4.97,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Tegucigalpa, Honduras",04/02/2024,14.1,-87.2167,33.0,18.0,24.2,0.0,0.0,65,15.8,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Lille, France",05/03/2024,50.6333,3.0667,20.11,10.5,11.42,17.6,0.67,51.73,27.24,4.21,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Paris, France",06/02/2024,48.8667,2.3333,26.72,22.45,24.76,46.09,0.18,78.36,8.88,4.27,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Phnom Penh, Cambodia",02/03/2024,11.55,104.9167,15.35,9.18,12.79,21.73,2.92,37.24,49.73,6.08,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Canberra, Australia",01/04/2024,-35.2833,149.2167,17.62,15.08,16.32,13.12,4.3,20.48,14.74,8.63,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Bamako, Mali",04/17/2024,12.65,-8.0,40.2,26.0,33.7,0.0,0.0,10,16.2,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Dakar, Senegal",03/04/2024,14.6708,-17.4381,9.79,4.99,6.3,45.3,4.52,57.12,9.87,7.18,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Guatemala City, Guatemala",03/04/2024,14.6211,-90.5269,24.8,14.44,16.43,34.78,4.31,51.96,49.8,4.58,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Bratislava, Slovakia",04/03/2024,48.15,17.1167,36.05,22.32,30.02,3.23,2.83,25.69,17.35,8.21,Light sleet,http://cdn.weatherapi.com/weather/64x64/day/317.png,icons/317.png
"Rio de Janeiro, Brazil",11/15/2024,-22.9,-43.2333,25.3,20.3,22.8,7.42,0.0,87,11.5,9.0,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Kampala, Uganda",05/03/2024,0.3156,32.5656,37.92,19.84,27.4,2.32,0.19,10.88,35.7,8.63,Heavy snow,http://cdn.weatherapi.com/weather/64x64/day/338.png,icons/338.png
"Berlin, Germany",05/03/2024,52.5167,13.4,21.3,18.9,19.08,41.85,0.35,47.81,35.5,5.39,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Auckland, New Zealand",04/03/2024,-36.8667,174.7667,21.85,10.97,14.81,14.62,3.38,44.48,10.85,9.66,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Rothenburg ob der Tauber, Germany",02/03/2024,49.3833,10.1833,33.61,18.71,27.75,29.89,3.46,20.36,4.16,9.54,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Nelson, New Zealand",04/03/2024,-41.2833,173.2833,20.84,20.56,20.77,3.38,0.67,54.58,28.89,4.7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Cobh, Ireland",02/03/2024,51.8572,-8.2992,35.68,15.03,30.79,41.61,0.7,41.35,7.84,8.63,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Tauranga, New Zealand",01/04/2024,-37.6861,176.1667,36.22,22.61,23.42,26.4,0.31,42.89,30.4,4.01,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Lagos, Nigeria",01/04/2024,6.4531,3.3958,37.98,18.83,33.17,14.77,5.04,29.84,37.24,5.62,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Taipei, Taiwan",05/19/2024,25.0392,121.525,29.8,20.2,25.0,0.42,0.0,72,20.5,10.0,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Mexico City, Mexico",08/08/2024,19.4285,-99.1277,24.6,13.5,18.0,4.76,0.0,67,13.0,9.6,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Hamilton, New Zealand",02/03/2024,-37.7833,175.2833,39.07,10.95,35.56,44.79,4.08,72.13,45.66,5.37,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Kotor, Montenegro",02/03/2024,42.4258,18.7719,30.42,21.02,26.12,36.55,2.62,81.75,35.19,8.62,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Hyderabad, India",06/24/2024,17.3753,78.4744,29.7,24.0,26.9,2.52,0.0,71,25.2,9.9,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Rio de Janeiro, Brazil",06/09/2024,-22.9,-43.2333,26.3,19.4,22.5,0.0,0.0,75,10.4,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Marrakech, Morocco",03/04/2024,31.6333,-8.0,36.4,4.72,21.96,6.38,1.84,45.75,24.38,4.64,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Montevideo, Uruguay",05/03/2024,-34.8581,-56.1708,28.13,18.45,27.18,31.82,0.1,53.51,32.48,7.33,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Salzburg, Austria",06/02/2024,47.8,13.0333,33.16,1.39,4.0,23.69,4.02,64.5,8.33,6.78,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Rabat, Morocco",05/03/2024,34.0253,-6.8361,5.5,2.52,4.99,37.14,1.9,59.7,6.03,4.02,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"London, UK",06/12/2024,51.5171,-0.1062,16.0,9.3,12.0,0.87,0.0,71,13.0,10.0,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Canberra, Australia",02/03/2024,-35.2833,149.2167,33.41,3.47,24.75,39.27,5.92,23.67,51.51,5.22,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Albury, Australia",04/03/2024,-36.0833,146.9167,15.38,15.08,15.11,13.96,4.77,17.26,25.05,5.17,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Amsterdam, Netherlands",03/22/2024,52.374,4.8897,10.1,6.2,8.8,2.62,0.0,88,16.2,8.8,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Melbourne, Australia",06/24/2024,-37.8167,144.9667,12.1,4.6,8.2,0.0,0.0,63,19.4,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"La Paz, Bolivia",07/24/2024,-16.5,-68.15,13.4,0.8,6.7,0.14,0.0,60,11.2,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Istanbul, Turkey",02/03/2024,41.0186,28.9647,17.97,10.93,12.82,13.76,0.9,42.55,20.11,9.06,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Cairns, Australia",05/03/2024,-16.9167,145.7667,11.95,-1.91,8.95,4.06,2.41,40.06,10.38,8.49,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Belmopan, Belize",04/20/2024,17.25,-88.7667,32.1,23.0,26.9,0.58,0.0,79,13.0,7.3,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Auckland, New Zealand",06/15/2024,-36.8667,174.7667,15.1,10.5,12.6,0.78,0.0,73,27.0,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Bilbao, Spain",06/02/2024,43.25,-2.9667,29.34,-2.89,-2.29,28.9,1.82,27.61,12.98,6.85,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Montevideo, Uruguay",09/13/2024,-34.8581,-56.1708,17.6,7.7,11.9,0.0,0.0,75,13.7,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Kotor, Montenegro",05/03/2024,42.4258,18.7719,39.69,18.58,19.34,7.7,5.29,32.84,16.08,4.55,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Montevideo, Uruguay",02/03/2024,-34.8581,-56.1708,26.14,-3.17,1.95,39.86,1.03,38.94,13.94,9.9,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Brisbane, Australia",05/03/2024,-27.5,153.0167,13.09,6.6,12.79,37.06,4.98,19.56,6.83,7.78,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Tallinn, Estonia",08/31/2024,59.4339,24.7281,18.8,12.4,15.9,18.62,0.0,86,18.7,8.2,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Lagos, Nigeria",12/03/2024,6.4531,3.3958,32.6,25.8,28.8,0.02,0.0,67,19.1,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Bilbao, Spain",06/15/2024,43.25,-2.9667,18.8,13.4,15.8,0.65,0.0,74,12.6,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Bruges, Belgium",04/03/2024,51.2167,3.2333,31.64,2.76,4.18,2.53,1.17,74.23,32.79,4.1,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
